artistName,trackName,total_mins_played,total_streams
The Front Bottoms,Legit Tattoo Gun,41.86,19
beabadoobee,She Plays Bass,60.28,19
colleen dow,Bumbum,24.89,19
girl in red,dead girl in the pool.,52.59,19
Bon Iver,Flume,40.82,18
CASTLEBEAT,Looking For Something,44.18,18
Clairo,Partridge,24.45,18
Faye Webster,Kingston,49.25,18
Hazel English,That Thing,51.79,18
Hozier,Would That I,62.81,18
Japanese Breakfast,Road Head,51.51,18
José González,Crosses,35.42,18
Joyce Manor,Heart Tattoo,16.25,18
Kanye West,Monster,10.62,18
Modern Baseball,@chl03k,20.32,18
Modern Baseball,Notes,28.36,18
Mom Jeans.,Edward 40hands,50.3,18
Mom Jeans.,Scott Pilgrim vs. My Gpa - Audiotree Live Version,30.94,18
Neck Deep,December,49.43,18
No Rome,Spinning (with Charli XCX & The 1975),19.92,18
Okay Alright,ride my bike 2 the ocean,35.84,18
Park Jefferson,Better Boy,37.23,18
Phoebe Bridgers,Punisher,42.55,18
Pinegrove,Hairpin,19.68,18
Pinegrove,Neighbor,25.99,18
Pinegrove,New Friends,34.11,18
Rainbow Kitten Surprise,Hide,26.11,18
"Slaughter Beach, Dog",At the Moonbase,56.72,18
"Slaughter Beach, Dog",Notes From a Brief Engagement (at the Boot & Saddle),72.36,18
"Slaughter Beach, Dog",Toronto Mug II,19.37,18
"Slaughter Beach, Dog",Van Morrison,19.96,18
Still Woozy,Before You Were Mine,35.49,18
Still Woozy,Habit,36.17,18
Still Woozy,Woopie,47.62,18
TTNG,"Whatever, Whenever",31.32,18
Tame Impala,Yes I'm Changing,42.38,18
The 1975,Playing On My Mind,37.94,18
The 1975,She Way Out,43.84,18
The 1975,The End (Music For Cars),40.87,18
The 1975,Yeah I Know,57.81,18
The Front Bottoms,Vacation Town,32.41,18
The Smashing Pumpkins,1979 - Remastered 2012,52.56,18
Turnover,Nightlight Girl,44.49,18
"Tyler, The Creator",Boredom (feat. Rex Orange County & Anna of the North),65.77,18
"Tyler, The Creator",PUPPET,28.46,18
"Tyler, The Creator",WHAT'S GOOD,46.66,18
fanclubwallet,Gr8 Timing!,38.4,18
girl in red,i need to be alone.,40.87,18
Beach Fossils,Down the Line,37.27,17
Bon Iver,Blood Bank,65.93,17
Bon Iver,Re: Stacks,76.8,17
Clairo,Blouse,29.63,17
Clairo,Zinnias,33.41,17
Dayglow,Close To You,44.66,17
Dayglow,Run the World!!!,38.64,17
Hazel English,Never Going Home,55.35,17
Hazel English,Summer Nights,45.13,17
José González,Stay Alive,46.65,17
